"date_added","counter"
1391176800000,1
1435672800000,1
1448892000000,1
1451570400000,2
1454248800000,1
1456754400000,1
1459432800000,1
1462024800000,1
1464703200000,2
1467295200000,1
1475244000000,6
1477922400000,2
1480514400000,3
1483192800000,2
1485871200000,10
1488290400000,7
1490968800000,3
1493560800000,6
1496239200000,7
1498831200000,3
1501509600000,16
1504188000000,21
1506780000000,10
1509458400000,13
1512050400000,8
1514728800000,7
1517407200000,10
1519826400000,20
1522504800000,9
1525096800000,9
1527775200000,7
1530367200000,17
1533045600000,31
1535724000000,12
1538316000000,26
1540994400000,10
1543586400000,20
1546264800000,23
1548943200000,12
1551362400000,16
1554040800000,14
1556632800000,18
1559311200000,12
1561903200000,15
1564581600000,9
1567260000000,14
1569852000000,17
1572530400000,43
1575122400000,29
1577800800000,33
1580479200000,7
1582984800000,8
1585663200000,20
1588255200000,8
1590933600000,19
1593525600000,15
1596204000000,13
1598882400000,16
1601474400000,14
1604152800000,14
1606744800000,9
1609423200000,16
